Age,Sex_male,Embarked_Q,Embarked_S,Embarked_Unknown
22.0,True,False,True,False
38.0,False,False,False,False
26.0,False,False,True,False
35.0,False,False,True,False
35.0,True,False,True,False
29.69911764705882,True,True,False,False
54.0,True,False,True,False
2.0,True,False,True,False
27.0,False,False,True,False
14.0,False,False,False,False
4.0,False,False,True,False
58.0,False,False,True,False
20.0,True,False,True,False
39.0,True,False,True,False
14.0,False,False,True,False
55.0,False,False,True,False
2.0,True,True,False,False
29.69911764705882,True,False,True,False
31.0,False,False,True,False
29.69911764705882,False,False,False,False
35.0,True,False,True,False
34.0,True,False,True,False
15.0,False,True,False,False
28.0,True,False,True,False
8.0,False,False,True,False
38.0,False,False,True,False
29.69911764705882,True,False,False,False
19.0,True,False,True,False
29.69911764705882,False,True,False,False
29.69911764705882,True,False,True,False
40.0,True,False,False,False
29.69911764705882,False,False,False,False
29.69911764705882,False,True,False,False
66.0,True,False,True,False
28.0,True,False,False,False
42.0,True,False,True,False
29.69911764705882,True,False,False,False
21.0,True,False,True,False
18.0,False,False,True,False
14.0,False,False,False,False
40.0,False,False,True,False
27.0,False,False,True,False
29.69911764705882,True,False,False,False
3.0,False,False,False,False
19.0,False,True,False,False
29.69911764705882,True,False,True,False
29.69911764705882,True,True,False,False
29.69911764705882,False,True,False,False
29.69911764705882,True,False,False,False
18.0,False,False,True,False
7.0,True,False,True,False
21.0,True,False,True,False
49.0,False,False,False,False
29.0,False,False,True,False
65.0,True,False,False,False
29.69911764705882,True,False,True,False
21.0,False,False,True,False
28.5,True,False,False,False
5.0,False,False,True,False
11.0,True,False,True,False
22.0,True,False,False,False
38.0,False,False,False,True
45.0,True,False,True,False
4.0,True,False,True,False
29.69911764705882,True,False,False,False
29.69911764705882,True,False,False,False
29.0,False,False,True,False
19.0,True,False,True,False
17.0,False,False,True,False
26.0,True,False,True,False
32.0,True,False,True,False
16.0,False,False,True,False
21.0,True,False,True,False
26.0,True,False,False,False
32.0,True,False,True,False
25.0,True,False,True,False
29.69911764705882,True,False,True,False
29.69911764705882,True,False,True,False
0.83,True,False,True,False
30.0,False,False,True,False
22.0,True,False,True,False
29.0,True,False,True,False
29.69911764705882,False,True,False,False
28.0,True,False,True,False
17.0,False,False,True,False
33.0,False,False,True,False
16.0,True,False,True,False
29.69911764705882,True,False,True,False
23.0,False,False,True,False
24.0,True,False,True,False
29.0,True,False,True,False
20.0,True,False,True,False
46.0,True,False,True,False
26.0,True,False,True,False
59.0,True,False,True,False
29.69911764705882,True,False,True,False
71.0,True,False,False,False
23.0,True,False,False,False
34.0,False,False,True,False
34.0,True,False,True,False
28.0,False,False,True,False
29.69911764705882,True,False,True,False
21.0,True,False,True,False
33.0,True,False,True,False
37.0,True,False,True,False
28.0,True,False,True,False
21.0,False,False,True,False
29.69911764705882,True,False,True,False
38.0,True,False,True,False
29.69911764705882,False,True,False,False
47.0,True,False,True,False
14.5,False,False,False,False
22.0,True,False,True,False
20.0,False,False,True,False
17.0,False,False,False,False
21.0,True,False,True,False
70.5,True,True,False,False
29.0,True,False,True,False
24.0,True,False,False,False
2.0,False,False,True,False
21.0,True,False,True,False
29.69911764705882,True,False,True,False
32.5,True,False,False,False
32.5,False,False,True,False
54.0,True,False,True,False
12.0,True,False,False,False
29.69911764705882,True,True,False,False
24.0,True,False,True,False
29.69911764705882,False,False,False,False
45.0,True,False,True,False
33.0,True,False,False,False
20.0,True,False,True,False
47.0,False,False,True,False
29.0,False,False,True,False
25.0,True,False,True,False
23.0,True,False,False,False
19.0,False,False,True,False
37.0,True,False,True,False
16.0,True,False,True,False
24.0,True,False,False,False
29.69911764705882,False,False,False,False
22.0,False,False,True,False
24.0,False,False,True,False
19.0,True,True,False,False
18.0,True,False,True,False
19.0,True,False,True,False
27.0,True,False,True,False
9.0,False,False,True,False
36.5,True,False,True,False
42.0,True,False,True,False
51.0,True,False,True,False
22.0,False,False,True,False
55.5,True,False,True,False
40.5,True,False,True,False
29.69911764705882,True,False,True,False
51.0,True,False,False,False
16.0,False,True,False,False
30.0,True,False,True,False
29.69911764705882,True,False,True,False
29.69911764705882,True,False,True,False
44.0,True,False,True,False
40.0,False,False,True,False
26.0,True,False,True,False
17.0,True,False,True,False
1.0,True,False,True,False
9.0,True,False,True,False
29.69911764705882,False,False,True,False
45.0,False,False,True,False
29.69911764705882,True,False,True,False
28.0,True,False,True,False
61.0,True,False,True,False
4.0,True,True,False,False
1.0,False,False,True,False
21.0,True,False,True,False
56.0,True,False,False,False
18.0,True,False,True,False
29.69911764705882,True,False,True,False
50.0,False,False,False,False
30.0,True,False,True,False
36.0,True,False,True,False
29.69911764705882,False,False,True,False
29.69911764705882,True,False,False,False
9.0,True,False,True,False
1.0,True,False,True,False
4.0,False,False,True,False
29.69911764705882,True,False,True,False
29.69911764705882,False,True,False,False
45.0,True,False,True,False
40.0,True,True,False,False
36.0,True,False,True,False
32.0,False,False,True,False
19.0,True,False,True,False
19.0,False,False,True,False
3.0,True,False,True,False
44.0,False,False,False,False
58.0,False,False,False,False
29.69911764705882,True,True,False,False
42.0,True,False,True,False
29.69911764705882,False,True,False,False
24.0,False,False,True,False
28.0,True,False,True,False
29.69911764705882,True,False,True,False
34.0,True,False,True,False
45.5,True,False,False,False
18.0,True,False,True,False
2.0,False,False,True,False
32.0,True,False,True,False
26.0,True,False,False,False
16.0,False,True,False,False
40.0,True,False,False,False
24.0,True,False,True,False
35.0,False,False,True,False
22.0,True,False,True,False
30.0,True,False,True,False
29.69911764705882,True,True,False,False
31.0,False,False,False,False
27.0,False,False,True,False
42.0,True,False,True,False
32.0,False,False,False,False
30.0,True,False,True,False
16.0,True,False,True,False
27.0,True,False,True,False
51.0,True,False,True,False
29.69911764705882,True,False,True,False
38.0,True,False,True,False
22.0,True,False,True,False
19.0,True,False,True,False
20.5,True,False,True,False
18.0,True,False,True,False
29.69911764705882,False,False,True,False
35.0,False,False,True,False
29.0,True,False,True,False
59.0,True,False,True,False
5.0,False,False,True,False
24.0,True,False,True,False
29.69911764705882,False,False,True,False
44.0,True,False,True,False
8.0,False,False,True,False
19.0,True,False,True,False
33.0,True,False,True,False
29.69911764705882,False,False,False,False
29.69911764705882,False,True,False,False
29.0,True,False,True,False
22.0,True,False,True,False
30.0,True,False,False,False
44.0,True,True,False,False
25.0,False,False,True,False
24.0,False,False,True,False
37.0,True,False,True,False
54.0,True,False,True,False
29.69911764705882,True,False,True,False
29.0,False,False,True,False
62.0,True,False,True,False
30.0,True,False,True,False
41.0,False,False,True,False
29.0,False,False,False,False
29.69911764705882,False,False,False,False
30.0,False,False,True,False
35.0,False,False,False,False
50.0,False,False,True,False
29.69911764705882,True,True,False,False
3.0,True,False,True,False
52.0,True,False,True,False
40.0,True,False,True,False
29.69911764705882,False,True,False,False
36.0,True,False,True,False
16.0,True,False,True,False
25.0,True,False,True,False
58.0,False,False,True,False
35.0,False,False,True,False
29.69911764705882,True,False,True,False
25.0,True,False,True,False
41.0,False,False,True,False
37.0,True,False,False,False
29.69911764705882,False,True,False,False
63.0,False,False,True,False
45.0,False,False,True,False
29.69911764705882,True,False,True,False
7.0,True,True,False,False
35.0,False,False,True,False
65.0,True,True,False,False
28.0,True,False,True,False
16.0,True,False,True,False
19.0,True,False,True,False
29.69911764705882,True,False,True,False
33.0,True,False,False,False
30.0,True,False,True,False
22.0,True,False,True,False
42.0,True,False,True,False
22.0,False,True,False,False
26.0,False,False,True,False
19.0,False,False,False,False
36.0,True,False,False,False
24.0,False,False,True,False
24.0,True,False,True,False
29.69911764705882,True,False,False,False
23.5,True,False,False,False
2.0,False,False,True,False
29.69911764705882,True,False,True,False
50.0,False,False,False,False
29.69911764705882,False,True,False,False
29.69911764705882,True,True,False,False
19.0,True,False,True,False
29.69911764705882,False,True,False,False
29.69911764705882,True,False,True,False
0.92,True,False,True,False
29.69911764705882,False,False,False,False
17.0,False,False,False,False
30.0,True,False,False,False
30.0,False,False,False,False
24.0,False,False,False,False
18.0,False,False,False,False
26.0,False,False,True,False
28.0,True,False,True,False
43.0,True,False,True,False
26.0,False,False,True,False
24.0,False,False,True,False
54.0,True,False,True,False
31.0,False,False,True,False
40.0,False,False,False,False
22.0,True,False,True,False
27.0,True,False,True,False
30.0,False,True,False,False
22.0,False,False,True,False
29.69911764705882,True,False,True,False
36.0,False,False,False,False
61.0,True,False,True,False
36.0,False,False,True,False
31.0,False,False,True,False
16.0,False,False,False,False
29.69911764705882,False,True,False,False
45.5,True,False,True,False
38.0,True,False,True,False
16.0,True,False,True,False
29.69911764705882,False,False,True,False
29.69911764705882,True,False,True,False
29.0,True,False,True,False
41.0,False,False,False,False
45.0,True,False,True,False
45.0,True,False,True,False
2.0,True,False,True,False
24.0,False,False,True,False
28.0,True,False,True,False
25.0,True,False,True,False
36.0,True,False,True,False
24.0,False,False,True,False
40.0,False,False,True,False
29.69911764705882,False,False,True,False
3.0,True,False,True,False
42.0,True,False,True,False
23.0,True,False,True,False
29.69911764705882,True,False,True,False
15.0,True,False,False,False
25.0,True,False,True,False
29.69911764705882,True,False,False,False
28.0,True,False,True,False
22.0,False,False,True,False
38.0,False,False,True,False
29.69911764705882,False,True,False,False
29.69911764705882,False,True,False,False
40.0,True,False,True,False
29.0,True,False,False,False
45.0,False,False,False,False
35.0,True,False,True,False
29.69911764705882,True,True,False,False
